,secs,meas
0,0.0,5.72
1,0.015625,6.08
2,0.03125,7.05
3,0.046875,8.42
4,0.0625,9.9
5,0.078125,11.2
6,0.09375,12.17
7,0.109375,12.84
8,0.125,13.32
9,0.140625,13.74
10,0.15625,14.07
11,0.171875,14.15
12,0.1875,13.64
13,0.203125,12.22
14,0.21875,9.76
15,0.234375,6.43
16,0.25,2.76
17,0.265625,-0.47
18,0.28125,-2.44
19,0.296875,-2.56
20,0.3125,-0.67
21,0.328125,2.82
22,0.34375,7.03
23,0.359375,10.86
24,0.375,13.36
25,0.390625,13.91
26,0.40625,12.43
27,0.421875,9.14
28,0.4375,4.45
29,0.453125,-1.29
30,0.46875,-7.91
31,0.484375,-15.4
32,0.5,-23.71
33,0.515625,-32.59
34,0.53125,-41.47
35,0.546875,-49.36
36,0.5625,-55.28
37,0.578125,-58.51
38,0.59375,-58.88
39,0.609375,-56.66
40,0.625,-52.62
41,0.640625,-47.58
42,0.65625,-42.18
43,0.671875,-36.9
44,0.6875,-31.99
45,0.703125,-27.75
46,0.71875,-24.44
47,0.734375,-22.05
48,0.75,-20.15
49,0.765625,-18.0
50,0.78125,-14.82
51,0.796875,-10.13
52,0.8125,-4.0
53,0.828125,3.08
54,0.84375,10.38
55,0.859375,17.32
56,0.875,23.5
57,0.890625,28.66
58,0.90625,32.56
59,0.921875,34.89
60,0.9375,35.41
61,0.953125,34.11
62,0.96875,31.32
63,0.984375,27.57
64,1.0,23.55
65,1.015625,19.86
66,1.03125,16.88
67,1.046875,14.9
68,1.0625,14.01
69,1.078125,14.01
70,1.09375,14.34
71,1.109375,14.33
72,1.125,13.31
73,1.140625,11.02
74,1.15625,7.64
75,1.171875,3.73
76,1.1875,0.01
77,1.203125,-2.94
78,1.21875,-4.89
79,1.234375,-6.0
80,1.25,-6.69
81,1.265625,-7.49
82,1.28125,-8.77
83,1.296875,-10.71
84,1.3125,-13.13
85,1.328125,-15.5
86,1.34375,-17.11
87,1.359375,-17.21
88,1.375,-15.34
89,1.390625,-11.45
90,1.40625,-6.02
91,1.421875,0.14
92,1.4375,6.2
93,1.453125,11.53
94,1.46875,15.91
95,1.484375,19.35
96,1.5,22.05
97,1.515625,24.19
98,1.53125,25.84
99,1.546875,27.02
100,1.5625,27.76
101,1.578125,28.16
102,1.59375,28.38
103,1.609375,28.57
104,1.625,28.77
105,1.640625,28.9
106,1.65625,28.76
107,1.671875,28.13
108,1.6875,26.83
109,1.703125,24.86
110,1.71875,22.32
111,1.734375,19.4
112,1.75,16.25
113,1.765625,12.8
114,1.78125,8.88
115,1.796875,4.31
116,1.8125,-1.02
117,1.828125,-6.97
118,1.84375,-13.28
119,1.859375,-19.61
120,1.875,-25.62
121,1.890625,-30.96
122,1.90625,-35.23
123,1.921875,-37.95
124,1.9375,-38.6
125,1.953125,-36.83
126,1.96875,-32.72
127,1.984375,-26.82
128,2.0,-20.15
129,2.015625,-13.81
130,2.03125,-8.74
131,2.046875,-5.48
132,2.0625,-4.09
133,2.078125,-4.3
134,2.09375,-5.66
135,2.109375,-7.74
136,2.125,-10.23
137,2.140625,-12.95
138,2.15625,-15.84
139,2.171875,-18.87
140,2.1875,-21.96
141,2.203125,-24.87
142,2.21875,-27.3
143,2.234375,-28.81
144,2.25,-29.07
145,2.265625,-27.89
146,2.28125,-25.35
147,2.296875,-21.73
148,2.3125,-17.4
149,2.328125,-12.7
150,2.34375,-7.72
151,2.359375,-2.34
152,2.375,3.79
153,2.390625,11.0
154,2.40625,19.36
155,2.421875,28.54
156,2.4375,37.72
157,2.453125,45.81
158,2.46875,51.8
